track_id,spotify_id,title,track_artist,release_year,loudness,mode_name,decade
spotify:track:7pu8AhGUxHZSCWTkQ2eb5M,7pu8AhGUxHZSCWTkQ2eb5M,Bad Reputation,Joan Jett & The Blackhearts,1981,-4.055,major,1980
spotify:track:4LFwNJWoj74Yd71fIr1W8x,4LFwNJWoj74Yd71fIr1W8x,Right Here Waiting,Richard Marx,1989,-13.589,major,1980
spotify:track:18AXbzPzBS8Y3AkgSxzJPb,18AXbzPzBS8Y3AkgSxzJPb,In The Air Tonight - 2015 Remastered,Phil Collins,1981,-13.945,major,1980
spotify:track:5SVwYZ8kVz8IXVm8Bji6XY,5SVwYZ8kVz8IXVm8Bji6XY,That Smiling Face,Camouflage,1988,-12.658,minor,1980
spotify:track:6qUEOWqOzu1rLPUPQ1ECpx,6qUEOWqOzu1rLPUPQ1ECpx,Walk This Way (feat. Aerosmith),Run–D.M.C.,1986,-12.56,minor,1980
spotify:track:3Cx4yrFaX8CeHwBMReOWXI,3Cx4yrFaX8CeHwBMReOWXI,We Didn't Start the Fire,Billy Joel,1989,-5.206,major,1980
spotify:track:5C0LFQARavkPpn7JgA4sLk,5C0LFQARavkPpn7JgA4sLk,Every Breath You Take - Remastered 2003,The Police,1983,-9.796,major,1980
spotify:track:43eBgYRTmu5BJnCJDBU5Hb,43eBgYRTmu5BJnCJDBU5Hb,Rio - 2009 Remaster,Duran Duran,1982,-7.425,major,1980
spotify:track:6yK7QgE4H7dIzHa9EV4FKL,6yK7QgE4H7dIzHa9EV4FKL,If I Was Your Girlfriend,Prince,1987,-18.998,major,1980
spotify:track:5fsU7AtSTp0zySUf46hwbt,5fsU7AtSTp0zySUf46hwbt,Just Between You And Me,April Wine,1981,-15.021,major,1980
spotify:track:0rkcFGA6XEVd2XV2JI6msk,0rkcFGA6XEVd2XV2JI6msk,When Love Comes To Town,U2,1988,-11.259,major,1980
spotify:track:1LwP9g1Hjbs64jXM2Qsxry,1LwP9g1Hjbs64jXM2Qsxry,Just Like Honey,The Jesus and Mary Chain,1985,-10.503,major,1980
spotify:track:37ZJ0p5Jm13JPevGcx4SkF,37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,Bon Jovi,1986,-3.757,major,1980
spotify:track:2PfBSkCKZDXMsJogMT0wML,2PfBSkCKZDXMsJogMT0wML,Jump,Van Halen,1984,-7.201,major,1980
spotify:track:4nTYxxF8iWBq54LO3dBUie,4nTYxxF8iWBq54LO3dBUie,Rhythm Nation,Janet Jackson,1989,-7.752,major,1980
spotify:track:51w6nRCU68klqNfYaaVP2j,51w6nRCU68klqNfYaaVP2j,"Hi, How're You Doin'?",DREAMS COME TRUE,1989,-26.087,major,1980
spotify:track:52S4QPlEwa8qkiC2jr6CGp,52S4QPlEwa8qkiC2jr6CGp,Groove Me,Guy,1988,-13.974,major,1980
spotify:track:6OmknRIYvZmABONKgva2GK,6OmknRIYvZmABONKgva2GK,Every Little Step - Remix,Bobby Brown,1989,-10.397,major,1980
spotify:track:52IuMfbQa9aqRPz2oYPAI8,52IuMfbQa9aqRPz2oYPAI8,Express Yourself,N.W.A.,1988,-11.022,minor,1980
